 TESTING TRANSACCU TYPE 632154 (best = 321654)
 Hirata Reference =    8.776547     seconds
 Algorithm         Jeff           Speedup          Best
     236 Loop 416532     28.52979     0.30763     2.04810     4.28522
     237 Loop 514632     26.56567     0.33037     2.04810     4.28522
     238 Loop 614532     10.54077     0.83263     2.04810     4.28522
     239 Loop 516432     10.91260     0.80426     2.04810     4.28522
     240 Loop 615432      9.83643     0.89225     2.04810     4.28522
     241 Loop 231456      7.50464     1.16948     2.04810     4.28522
     242 Loop 231465      2.86035     3.06835     2.04810     4.28522
     243 Loop 231546      7.30029     1.20222     2.04810     4.28522
     244 Loop 231645      2.31226     3.79566     2.04810     4.28522
     245 Loop 231564      2.10425     4.17087     2.04810     4.28522
     246 Loop 231654      1.98413     4.42337     1.98413     4.42337
     247 Loop 241356     17.27319     0.50810     1.98413     4.42337
     248 Loop 241365     11.89673     0.73773     1.98413     4.42337
     249 Loop 251346      8.82861     0.99410     1.98413     4.42337
     250 Loop 261345      5.67236     1.54725     1.98413     4.42337
     251 Loop 251364      4.40430     1.99272     1.98413     4.42337
     252 Loop 261354      6.57251     1.33534     1.98413     4.42337
     253 Loop 241536     19.46924     0.45079     1.98413     4.42337
     254 Loop 241635     12.17676     0.72076     1.98413     4.42337
     255 Loop 251436      9.38452     0.93522     1.98413     4.42337
     256 Loop 261435      6.47632     1.35518     1.98413     4.42337
     257 Loop 251634      7.25244     1.21015     1.98413     4.42337
     258 Loop 261534      6.51245     1.34766     1.98413     4.42337
     259 Loop 241563     19.64111     0.44685     1.98413     4.42337
     260 Loop 241653     17.69702     0.49593     1.98413     4.42337
     261 Loop 251463      8.26855     1.06144     1.98413     4.42337
     262 Loop 261453      8.71655     1.00688     1.98413     4.42337
     263 Loop 251643      9.97656     0.87972     1.98413     4.42337
     264 Loop 261543      8.77661     0.99999     1.98413     4.42337
     265 Loop 321456      7.47266     1.17449     1.98413     4.42337
     266 Loop 321465      2.77222     3.16589     1.98413     4.42337
     267 Loop 321546      7.30835     1.20089     1.98413     4.42337
     268 Loop 321645      2.34814     3.73765     1.98413     4.42337
     269 Loop 321564      2.11206     4.15544     1.98413     4.42337
     270 Loop 321654      1.98022     4.43210     1.98022     4.43210
     271 Loop 421356     19.38135     0.45283     1.98022     4.43210
     272 Loop 421365     13.09277     0.67034     1.98022     4.43210
     273 Loop 521346      9.28857     0.94488     1.98022     4.43210
     274 Loop 621345      6.09229     1.44060     1.98022     4.43210
     275 Loop 521364      4.69629     1.86883     1.98022     4.43210
     276 Loop 621354      7.01245     1.25157     1.98022     4.43210
     277 Loop 421536     20.88135     0.42031     1.98022     4.43210
     278 Loop 421635     13.37695     0.65609     1.98022     4.43210
     279 Loop 521436      9.63281     0.91111     1.98022     4.43210
     280 Loop 621435      7.25659     1.20946     1.98022     4.43210
     281 Loop 521634      7.72437     1.13622     1.98022     4.43210
     282 Loop 621534      7.06445     1.24235     1.98022     4.43210
     283 Loop 421563     21.28149     0.41240     1.98022     4.43210
     284 Loop 421653     19.34912     0.45359     1.98022     4.43210
     285 Loop 521463      8.43652     1.04030     1.98022     4.43210
     286 Loop 621453      9.54077     0.91990     1.98022     4.43210
     287 Loop 521643     10.06860     0.87167     1.98022     4.43210
     288 Loop 621543      9.51270     0.92261     1.98022     4.43210
     289 Loop 341256     17.56494     0.49966     1.98022     4.43210
     290 Loop 341265     15.23291     0.57616     1.98022     4.43210
     291 Loop 351246     10.50464     0.83549     1.98022     4.43210
     292 Loop 361245      8.41235     1.04329     1.98022     4.43210
     293 Loop 351264      5.99634     1.46365     1.98022     4.43210
     294 Loop 361254      9.05664     0.96907     1.98022     4.43210
     295 Loop 431256     28.17383     0.31151     1.98022     4.43210
     296 Loop 431265     20.49316     0.42827     1.98022     4.43210
     297 Loop 531246     12.21289     0.71863     1.98022     4.43210
     298 Loop 631245      9.48462     0.92535     1.98022     4.43210
     299 Loop 531264      6.39648     1.37209     1.98022     4.43210
     300 Loop 631254      9.76880     0.89843     1.98022     4.43210
     301 Loop 451236     34.65015     0.25329     1.98022     4.43210
     302 Loop 461235     24.04541     0.36500     1.98022     4.43210
     303 Loop 541236     33.24219     0.26402     1.98022     4.43210
     304 Loop 641235     21.23340     0.41334     1.98022     4.43210
     305 Loop 561234     13.66870     0.64209     1.98022     4.43210
     306 Loop 651234     14.16870     0.61943     1.98022     4.43210
     307 Loop 451263     32.07007     0.27367     1.98022     4.43210
     308 Loop 461253     36.33838     0.24152     1.98022     4.43210
     309 Loop 541263     29.40186     0.29850     1.98022     4.43210
     310 Loop 641253     32.04199     0.27391     1.98022     4.43210
     311 Loop 561243     14.34497     0.61182     1.98022     4.43210
     312 Loop 651243     13.90479     0.63119     1.98022     4.43210
     313 Loop 341526     30.92603     0.28379     1.98022     4.43210
     314 Loop 341625     19.23730     0.45623     1.98022     4.43210
     315 Loop 351426     12.62866     0.69497     1.98022     4.43210
     316 Loop 361425      9.82861     0.89296     1.98022     4.43210
     317 Loop 351624     10.59644     0.82825     1.98022     4.43210
     318 Loop 361524     10.24048     0.85704     1.98022     4.43210
     319 Loop 431526     33.21802     0.26421     1.98022     4.43210
     320 Loop 431625     19.61719     0.44739     1.98022     4.43210
     321 Loop 531426     12.90894     0.67988     1.98022     4.43210
     322 Loop 631425     10.16870     0.86309     1.98022     4.43210
     323 Loop 531624     10.73267     0.81774     1.98022     4.43210
     324 Loop 631524     10.41675     0.84254     1.98022     4.43210
     325 Loop 451326     35.80225     0.24514     1.98022     4.43210
     326 Loop 461325     22.70142     0.38661     1.98022     4.43210
     327 Loop 541326     32.83008     0.26733     1.98022     4.43210
     328 Loop 641325     21.71753     0.40412     1.98022     4.43210
     329 Loop 561324     10.67676     0.82202     1.98022     4.43210
     330 Loop 651324     11.41675     0.76874     1.98022     4.43210
     331 Loop 451623     34.47412     0.25458     1.98022     4.43210
     332 Loop 461523     41.35059     0.21225     1.98022     4.43210
     333 Loop 541623     37.87036     0.23175     1.98022     4.43210
     334 Loop 641523     42.93481     0.20442     1.98022     4.43210
     335 Loop 561423     15.84912     0.55376     1.98022     4.43210
     336 Loop 651423     15.14893     0.57935     1.98022     4.43210
     337 Loop 341562     26.57764     0.33022     1.98022     4.43210
     338 Loop 341652     27.82202     0.31545     1.98022     4.43210
     339 Loop 351462     11.04053     0.79494     1.98022     4.43210
     340 Loop 361452     12.46094     0.70432     1.98022     4.43210
     341 Loop 351642     14.44531     0.60757     1.98022     4.43210
     342 Loop 361542     12.78467     0.68649     1.98022     4.43210
     343 Loop 431562     32.22607     0.27234     1.98022     4.43210
     344 Loop 431652     27.33350     0.32109     1.98022     4.43210
     345 Loop 531462     12.34082     0.71118     1.98022     4.43210
     346 Loop 631452     14.49268     0.60559     1.98022     4.43210
     347 Loop 531642     13.62500     0.64415     1.98022     4.43210
     348 Loop 631542     12.36865     0.70958     1.98022     4.43210
     349 Loop 451362     29.55371     0.29697     1.98022     4.43210
     350 Loop 461352     31.33789     0.28006     1.98022     4.43210
     351 Loop 541362     30.46582     0.28808     1.98022     4.43210
     352 Loop 641352     29.88574     0.29367     1.98022     4.43210
     353 Loop 561342     14.83691     0.59153     1.98022     4.43210
     354 Loop 651342     14.66895     0.59831     1.98022     4.43210
     355 Loop 451632     38.01855     0.23085     1.98022     4.43210
     356 Loop 461532     39.98242     0.21951     1.98022     4.43210
     357 Loop 541632     39.66650     0.22126     1.98022     4.43210
     358 Loop 641532     40.77441     0.21525     1.98022     4.43210
     359 Loop 561432     15.45703     0.56780     1.98022     4.43210
     360 Loop 651432     14.36865     0.61081     1.98022     4.43210
     361 Loop 234156     10.14453     0.86515     1.98022     4.43210
     362 Loop 234165      4.69629     1.86883     1.98022     4.43210
     363 Loop 235146     10.45264     0.83965     1.98022     4.43210
     364 Loop 236145      4.44824     1.97304     1.98022     4.43210
     365 Loop 235164      3.45215     2.54234     1.98022     4.43210
     366 Loop 236154      3.66406     2.39531     1.98022     4.43210
     367 Loop 243156     26.82178     0.32722     1.98022     4.43210
     368 Loop 243165     17.52100     0.50092     1.98022     4.43210
     369 Loop 253146     11.80469     0.74348     1.98022     4.43210
     370 Loop 263145      9.60449     0.91380     1.98022     4.43210
     371 Loop 253164      7.06836     1.24167     1.98022     4.43210
     372 Loop 263154     10.31250     0.85106     1.98022     4.43210
     373 Loop 245136     29.50195     0.29749     1.98022     4.43210
     374 Loop 246135     19.38135     0.45283     1.98022     4.43210
     375 Loop 254136     30.72607     0.28564     1.98022     4.43210
     376 Loop 264135     11.01270     0.79695     1.98022     4.43210
     377 Loop 256134     11.15674     0.78666     1.98022     4.43210
     378 Loop 265134     10.43652     0.84095     1.98022     4.43210
     379 Loop 245163     28.37354     0.30932     1.98022     4.43210
     380 Loop 246153     27.32568     0.32118     1.98022     4.43210
     381 Loop 254163     28.83008     0.30442     1.98022     4.43210
     382 Loop 264153     14.10889     0.62206     1.98022     4.43210
     383 Loop 256143     14.23682     0.61647     1.98022     4.43210
     384 Loop 265143     12.85254     0.68286     1.98022     4.43210
     385 Loop 324156      9.78467     0.89697     1.98022     4.43210
     386 Loop 324165      4.15625     2.11165     1.98022     4.43210
     387 Loop 325146      9.60059     0.91417     1.98022     4.43210
     388 Loop 326145      3.77637     2.32407     1.98022     4.43210
     389 Loop 325164      3.17236     2.76656     1.98022     4.43210
     390 Loop 326154      3.28809     2.66920     1.98022     4.43210
     391 Loop 423156     26.66992     0.32908     1.98022     4.43210
     392 Loop 423165     18.78906     0.46711     1.98022     4.43210
     393 Loop 523146     11.97266     0.73305     1.98022     4.43210
     394 Loop 623145      8.24463     1.06452     1.98022     4.43210
     395 Loop 523164      5.98438     1.46658     1.98022     4.43210
     396 Loop 623154     10.26074     0.85535     1.98022     4.43210
     397 Loop 425136     26.72168     0.32844     1.98022     4.43210
     398 Loop 426135     19.47314     0.45070     1.98022     4.43210
     399 Loop 524136     29.19775     0.30059     1.98022     4.43210
     400 Loop 624135     10.97266     0.79986     1.98022     4.43210
     401 Loop 526134     10.67676     0.82202     1.98022     4.43210
     402 Loop 625134      9.54443     0.91955     1.98022     4.43210
     403 Loop 425163     28.22168     0.31099     1.98022     4.43210
     404 Loop 426153     26.28564     0.33389     1.98022     4.43210
     405 Loop 524163     29.96973     0.29285     1.98022     4.43210
     406 Loop 624153     14.81299     0.59249     1.98022     4.43210
     407 Loop 526143     14.81689     0.59233     1.98022     4.43210
     408 Loop 625143     13.22510     0.66363     1.98022     4.43210
     409 Loop 342156     25.20166     0.34825     1.98022     4.43210
     410 Loop 342165     17.07324     0.51405     1.98022     4.43210
     411 Loop 352146     11.52881     0.76127     1.98022     4.43210
     412 Loop 362145      9.36035     0.93763     1.98022     4.43210
     413 Loop 352164      5.67627     1.54618     1.98022     4.43210
     414 Loop 362154      8.85254     0.99142     1.98022     4.43210
     415 Loop 432156     24.72559     0.35496     1.98022     4.43210
     416 Loop 432165     18.08496     0.48530     1.98022     4.43210
     417 Loop 532146     11.92432     0.73602     1.98022     4.43210
     418 Loop 632145      9.99268     0.87830     1.98022     4.43210
     419 Loop 532164      6.61621     1.32652     1.98022     4.43210
     420 Loop 632154     10.19287     0.86105     1.98022     4.43210
     421 Loop 452136     31.07373     0.28244     1.98022     4.43210
     422 Loop 462135     22.65723     0.38736     1.98022     4.43210
     423 Loop 542136     30.83398     0.28464     1.98022     4.43210
     424 Loop 642135     21.94922     0.39986     1.98022     4.43210
     425 Loop 562134     12.15283     0.72218     1.98022     4.43210
     426 Loop 652134     11.88477     0.73847     1.98022     4.43210
     427 Loop 452163     29.47412     0.29777     1.98022     4.43210
     428 Loop 462153     38.13037     0.23017     1.98022     4.43210
     429 Loop 542163     35.10254     0.25003     1.98022     4.43210
     430 Loop 642153     35.85449     0.24478     1.98022     4.43210
     431 Loop 562143     17.12109     0.51262     1.98022     4.43210
     432 Loop 652143     15.71680     0.55842     1.98022     4.43210
     433 Loop 345126     28.25391     0.31063     1.98022     4.43210
     434 Loop 346125     17.35303     0.50576     1.98022     4.43210
     435 Loop 354126     31.48193     0.27878     1.98022     4.43210
     436 Loop 364125     10.32910     0.84969     1.98022     4.43210
     437 Loop 356124     10.76855     0.81502     1.98022     4.43210
     438 Loop 365124     10.22852     0.85805     1.98022     4.43210
     439 Loop 435126     30.29785     0.28968     1.98022     4.43210
     440 Loop 436125     17.71729     0.49537     1.98022     4.43210
     441 Loop 534126     26.50977     0.33107     1.98022     4.43210
     442 Loop 634125     10.49268     0.83645     1.98022     4.43210
     443 Loop 536124     10.82471     0.81079     1.98022     4.43210
     444 Loop 635124     10.02881     0.87513     1.98022     4.43210
     445 Loop 453126     30.38965     0.28880     1.98022     4.43210
     446 Loop 463125     24.91748     0.35222     1.98022     4.43210
     447 Loop 543126     35.22607     0.24915     1.98022     4.43210
     448 Loop 643125     22.20166     0.39531     1.98022     4.43210
     449 Loop 563124     12.07666     0.72674     1.98022     4.43210
     450 Loop 653124     13.45703     0.65219     1.98022     4.43210
     451 Loop 456123     43.92676     0.19980     1.98022     4.43210
     452 Loop 465123     38.25439     0.22943     1.98022     4.43210
     453 Loop 546123     42.53857     0.20632     1.98022     4.43210
     454 Loop 645123     37.24268     0.23566     1.98022     4.43210
     455 Loop 564123     34.59814     0.25367     1.98022     4.43210
     456 Loop 654123     33.39795     0.26279     1.98022     4.43210
     457 Loop 345162     27.44189     0.31982     1.98022     4.43210
     458 Loop 346152     28.71777     0.30561     1.98022     4.43210
     459 Loop 354162     26.58594     0.33012     1.98022     4.43210
