 TESTING TRANPOSE TYPE 326514
 Hirata Reference =    2.948184     seconds
 Algorithm         Jeff           Speedup          Best
     224 Loop 413652      6.35236     0.46411     0.94406     3.12287
     225 Loop 513462      2.03210     1.45080     0.94406     3.12287
     226 Loop 613452      4.40430     0.66939     0.94406     3.12287
     227 Loop 513642      1.48407     1.98655     0.94406     3.12287
     228 Loop 613542      3.91626     0.75281     0.94406     3.12287
     229 Loop 415362      6.08038     0.48487     0.94406     3.12287
     230 Loop 416352      6.08038     0.48487     0.94406     3.12287
     231 Loop 514362      2.09613     1.40649     0.94406     3.12287
     232 Loop 614352      4.52026     0.65222     0.94406     3.12287
     233 Loop 516342      1.64813     1.78880     0.94406     3.12287
     234 Loop 615342      4.24829     0.69397     0.94406     3.12287
     235 Loop 415632      6.12439     0.48138     0.94406     3.12287
     236 Loop 416532      5.98035     0.49298     0.94406     3.12287
     237 Loop 514632      2.68414     1.09837     0.94406     3.12287
     238 Loop 614532      4.68427     0.62938     0.94406     3.12287
     239 Loop 516432      2.27209     1.29756     0.94406     3.12287
     240 Loop 615432      4.22424     0.69792     0.94406     3.12287
     241 Loop 231456      0.93604     3.14965     0.93604     3.14965
     242 Loop 231465      1.22412     2.40841     0.93604     3.14965
     243 Loop 231546      1.04010     2.83452     0.93604     3.14965
     244 Loop 231645      1.22009     2.41636     0.93604     3.14965
     245 Loop 231564      1.02802     2.86784     0.93604     3.14965
     246 Loop 231654      1.04010     2.83452     0.93604     3.14965
     247 Loop 241356      1.50012     1.96530     0.93604     3.14965
     248 Loop 241365      1.85614     1.58834     0.93604     3.14965
     249 Loop 251346      1.15210     2.55897     0.93604     3.14965
     250 Loop 261345      1.79614     1.64140     0.93604     3.14965
     251 Loop 251364      1.12408     2.62274     0.93604     3.14965
     252 Loop 261354      1.51215     1.94967     0.93604     3.14965
     253 Loop 241536      1.46808     2.00819     0.93604     3.14965
     254 Loop 241635      1.91608     1.53866     0.93604     3.14965
     255 Loop 251436      1.37213     2.14862     0.93604     3.14965
     256 Loop 261435      2.13617     1.38013     0.93604     3.14965
     257 Loop 251634      1.01605     2.90161     0.93604     3.14965
     258 Loop 261534      1.42810     2.06441     0.93604     3.14965
     259 Loop 241563      1.75610     1.67882     0.93604     3.14965
     260 Loop 241653      1.95209     1.51027     0.93604     3.14965
     261 Loop 251463      1.56805     1.88015     0.93604     3.14965
     262 Loop 261453      2.10815     1.39847     0.93604     3.14965
     263 Loop 251643      1.48413     1.98647     0.93604     3.14965
     264 Loop 261543      2.11615     1.39318     0.93604     3.14965
     265 Loop 321456      0.93207     3.16306     0.93207     3.16306
     266 Loop 321465      1.12402     2.62288     0.93207     3.16306
     267 Loop 321546      1.08405     2.71961     0.93207     3.16306
     268 Loop 321645      1.27606     2.31038     0.93207     3.16306
     269 Loop 321564      1.08002     2.72976     0.93207     3.16306
     270 Loop 321654      1.05609     2.79160     0.93207     3.16306
     271 Loop 421356      5.90839     0.49898     0.93207     3.16306
     272 Loop 421365      6.01233     0.49036     0.93207     3.16306
     273 Loop 521346      1.94415     1.51644     0.93207     3.16306
     274 Loop 621345      3.51221     0.83941     0.93207     3.16306
     275 Loop 521364      1.20007     2.45667     0.93207     3.16306
     276 Loop 621354      3.36023     0.87738     0.93207     3.16306
     277 Loop 421536      6.10437     0.48296     0.93207     3.16306
     278 Loop 421635      6.03638     0.48840     0.93207     3.16306
     279 Loop 521436      2.02008     1.45944     0.93207     3.16306
     280 Loop 621435      3.86823     0.76215     0.93207     3.16306
     281 Loop 521634      1.24011     2.37735     0.93207     3.16306
     282 Loop 621534      3.38818     0.87014     0.93207     3.16306
     283 Loop 421563      6.22839     0.47335     0.93207     3.16306
     284 Loop 421653      6.42841     0.45862     0.93207     3.16306
     285 Loop 521463      1.85211     1.59180     0.93207     3.16306
     286 Loop 621453      4.21631     0.69923     0.93207     3.16306
     287 Loop 521643      1.62415     1.81522     0.93207     3.16306
     288 Loop 621543      4.14026     0.71208     0.93207     3.16306
     289 Loop 341256      1.64410     1.79319     0.93207     3.16306
     290 Loop 341265      1.88812     1.56144     0.93207     3.16306
     291 Loop 351246      1.21606     2.42437     0.93207     3.16306
     292 Loop 361245      1.99213     1.47992     0.93207     3.16306
     293 Loop 351264      1.08807     2.70954     0.93207     3.16306
     294 Loop 361254      1.70813     1.72597     0.93207     3.16306
     295 Loop 431256      5.94037     0.49630     0.93207     3.16306
     296 Loop 431265      6.31641     0.46675     0.93207     3.16306
     297 Loop 531246      2.14014     1.37757     0.93207     3.16306
     298 Loop 631245      3.72028     0.79246     0.93207     3.16306
     299 Loop 531264      1.35608     2.17405     0.93207     3.16306
     300 Loop 631254      3.37219     0.87426     0.93207     3.16306
     301 Loop 451236      6.48041     0.45494     0.93207     3.16306
     302 Loop 461235      8.07654     0.36503     0.93207     3.16306
     303 Loop 541236      2.96021     0.99594     0.93207     3.16306
     304 Loop 641235      5.88434     0.50102     0.93207     3.16306
     305 Loop 561234      1.95612     1.50716     0.93207     3.16306
     306 Loop 651234      3.57220     0.82531     0.93207     3.16306
     307 Loop 451263      6.07233     0.48551     0.93207     3.16306
     308 Loop 461253      7.67249     0.38425     0.93207     3.16306
     309 Loop 541263      2.49213     1.18300     0.93207     3.16306
     310 Loop 641253      5.36432     0.54959     0.93207     3.16306
     311 Loop 561243      2.48816     1.18489     0.93207     3.16306
     312 Loop 651243      4.12427     0.71484     0.93207     3.16306
     313 Loop 341526      1.92413     1.53221     0.93207     3.16306
     314 Loop 341625      1.88013     1.56808     0.93207     3.16306
     315 Loop 351426      1.46008     2.01919     0.93207     3.16306
     316 Loop 361425      1.82812     1.61268     0.93207     3.16306
     317 Loop 351624      1.07605     2.73982     0.93207     3.16306
     318 Loop 361524      1.47614     1.99723     0.93207     3.16306
     319 Loop 431526      6.24841     0.47183     0.93207     3.16306
     320 Loop 431625      5.81635     0.50688     0.93207     3.16306
     321 Loop 531426      2.12415     1.38794     0.93207     3.16306
     322 Loop 631425      3.80829     0.77415     0.93207     3.16306
     323 Loop 531624      1.12006     2.63218     0.93207     3.16306
     324 Loop 631524      3.25623     0.90540     0.93207     3.16306
     325 Loop 451326      6.44836     0.45720     0.93207     3.16306
     326 Loop 461325      7.68848     0.38345     0.93207     3.16306
     327 Loop 541326      2.75220     1.07121     0.93207     3.16306
     328 Loop 641325      5.93634     0.49663     0.93207     3.16306
