jeff@goldstone:~/code/spaghetty/trunk/python/archive/exe> transpose_632541.x
 TESTING TRANPOSE TYPE 632541
 Hirata Reference =    2.248140     seconds
 Algorithm         Jeff           Speedup          Best
     157 Loop 563421      1.67206     1.34453     1.18005     1.90512
     158 Loop 563124      2.34814     0.95741     1.18005     1.90512
     159 Loop 463521      1.93207     1.16359     1.18005     1.90512
     160 Loop 163524      7.32446     0.30694     1.18005     1.90512
     161 Loop 463125      2.09613     1.07252     1.18005     1.90512
     162 Loop 163425      6.61639     0.33978     1.18005     1.90512
     163 Loop 563412      2.03210     1.10631     1.18005     1.90512
     164 Loop 563142      2.11212     1.06440     1.18005     1.90512
     165 Loop 463512      1.89215     1.18814     1.18005     1.90512
     166 Loop 163542      6.72437     0.33433     1.18005     1.90512
     167 Loop 463152      1.93610     1.16117     1.18005     1.90512
     168 Loop 163452      6.63245     0.33896     1.18005     1.90512
     169 Loop 265341      1.34412     1.67258     1.18005     1.90512
     170 Loop 265314      1.70410     1.31925     1.18005     1.90512
     171 Loop 264351      1.32410     1.69787     1.18005     1.90512
     172 Loop 261354      1.89612     1.18565     1.18005     1.90512
     173 Loop 264315      1.53607     1.46356     1.18005     1.90512
     174 Loop 261345      1.70807     1.31619     1.18005     1.90512
     175 Loop 562341      1.70007     1.32238     1.18005     1.90512
     176 Loop 562314      2.16016     1.04073     1.18005     1.90512
     177 Loop 462351      2.08813     1.07663     1.18005     1.90512
     178 Loop 162354      7.32446     0.30694     1.18005     1.90512
     179 Loop 462315      2.07617     1.08283     1.18005     1.90512
     180 Loop 162345      6.58441     0.34143     1.18005     1.90512
     181 Loop 564321      1.87213     1.20085     1.18005     1.90512
     182 Loop 561324      2.56415     0.87676     1.18005     1.90512
     183 Loop 465321      1.99213     1.12851     1.18005     1.90512
     184 Loop 165324      7.80444     0.28806     1.18005     1.90512
     185 Loop 461325      2.36414     0.95094     1.18005     1.90512
     186 Loop 164325      6.46039     0.34799     1.18005     1.90512
     187 Loop 564312      2.28412     0.98425     1.18005     1.90512
     188 Loop 561342      2.26410     0.99295     1.18005     1.90512
     189 Loop 465312      2.16016     1.04073     1.18005     1.90512
     190 Loop 165342      6.78845     0.33117     1.18005     1.90512
     191 Loop 461352      2.16016     1.04073     1.18005     1.90512
     192 Loop 164352      6.64838     0.33815     1.18005     1.90512
     193 Loop 265431      1.37207     1.63850     1.18005     1.90512
     194 Loop 265134      1.84808     1.21647     1.18005     1.90512
     195 Loop 264531      1.37207     1.63850     1.18005     1.90512
     196 Loop 261534      1.93213     1.16356     1.18005     1.90512
     197 Loop 264135      1.68414     1.33489     1.18005     1.90512
     198 Loop 261435      1.76416     1.27434     1.18005     1.90512
     199 Loop 562431      1.68414     1.33489     1.18005     1.90512
     200 Loop 562134      2.20813     1.01812     1.18005     1.90512
     201 Loop 462531      1.84808     1.21647     1.18005     1.90512
     202 Loop 162534      7.27649     0.30896     1.18005     1.90512
     203 Loop 462135      2.17615     1.03308     1.18005     1.90512
     204 Loop 162435      6.43237     0.34950     1.18005     1.90512
     205 Loop 564231      1.82812     1.22975     1.18005     1.90512
     206 Loop 561234      2.47614     0.90792     1.18005     1.90512
     207 Loop 465231      1.94409     1.15640     1.18005     1.90512
     208 Loop 165234      7.50049     0.29973     1.18005     1.90512
     209 Loop 461235      2.36816     0.94932     1.18005     1.90512
     210 Loop 164235      6.36841     0.35301     1.18005     1.90512
     211 Loop 564132      2.64417     0.85023     1.18005     1.90512
     212 Loop 561432      2.80817     0.80057     1.18005     1.90512
     213 Loop 465132      2.68420     0.83754     1.18005     1.90512
     214 Loop 165432      6.87244     0.32712     1.18005     1.90512
     215 Loop 461532      2.59613     0.86596     1.18005     1.90512
     216 Loop 164532      6.66040     0.33754     1.18005     1.90512
     217 Loop 265413      1.58411     1.41919     1.18005     1.90512
     218 Loop 265143      1.71210     1.31309     1.18005     1.90512
     219 Loop 264513      1.64008     1.37075     1.18005     1.90512
     220 Loop 261543      1.89209     1.18818     1.18005     1.90512
     221 Loop 264153      1.64014     1.37070     1.18005     1.90512
     222 Loop 261453      1.86407     1.20604     1.18005     1.90512
     223 Loop 562413      2.00812     1.11953     1.18005     1.90512
     224 Loop 562143      2.08411     1.07871     1.18005     1.90512
     225 Loop 462513      1.88013     1.19574     1.18005     1.90512
     226 Loop 162543      6.77643     0.33176     1.18005     1.90512
